"name","type","breed","color","sex","size","date_of_birth","impound_number","kennel_number","id","intake_date","outcome_date","days_in_shelter","intake_type","intake_subtype","outcome_type","outcome_subtype","intake_condition","outcome_condition","intake_jurisdiction","outcome_jurisdiction","zip_code","location","intake_total"
"TINGLE","DOG","BORDER COLLIE/MIX","BLACK","Neutered","MED","2014-04-24T00:00:00.000","K14-009947","DA18","A309330","2014-07-24T00:00:00.000","2014-07-30T00:00:00.000","6","OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","*WINDSOR","95492","
,  95492
(38.54938, -122.81321)","1"
"SWEETHEART","DOG","PARSON RUSS TER/MIX","WHITE/BLACK","Spayed","SMALL","2001-01-06T00:00:00.000","K13-007083","FOSTER","A300778","2013-12-20T00:00:00.000","2014-03-04T00:00:00.000","74","STRAY","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
,"CAT","DOMESTIC MH","ORG TABBY","Female","SMALL","2002-10-20T00:00:00.000","K15-016361","SMM","A328239","2015-10-13T00:00:00.000","2015-10-20T00:00:00.000","7","STRAY","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","SANTA ROSA",,,,"1"
"*ROCCO","DOG","GERM SHEPHERD/ROTTWEILER","BLACK/BROWN","Neutered","LARGE","2007-12-17T00:00:00.000","K14-008055","DA31","A222339","2014-03-13T00:00:00.000","2014-05-23T00:00:00.000","71","OWNER SURRENDER","FIELD","TRANSFER","RP SHELTER","TREATABLE/MANAGEABLE","HEALTHY","COUNTY","*ROHNERT PARK","94928","
,  94928
(38.34246, -122.71181)","1"
,"DOG","GERM SHEPHERD/MIX","BLACK/TAN","Unknown","PUPPY",,"K14-008564","RECEIVING","A305780","2014-04-23T00:00:00.000","2014-04-23T00:00:00.000","0","OWNER SURRENDER","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","COUNTY",,,,"1"
,"DOG","PIT BULL","TAN","Male","LARGE",,"K15-016656","VET","A329429","2015-11-03T00:00:00.000","2015-11-05T00:00:00.000","2","STRAY","VET_HOSP","RETURN TO OWNER","FLD_IDTAG","TREATABLE/REHAB","TREATABLE/REHAB","COUNTY",,,,"1"
"AXLE","DOG","DACHSHUND","BLUE MERLE","Neutered","TOY","2018-11-21T00:00:00.000","K19-034631","DA07","A393866","2019-11-21T00:00:00.000","2019-12-06T00:00:00.000","15","STRAY","OVER THE COUNTER","ADOPTION","SCAS WEB","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","SANTA ROSA","OUT OF COUNTY","95834","
,  95834
(38.64881, -121.54405)","1"
,"DOG","GERM SHEPHERD","BLACK","Unknown","PUPPY",,"K22-040578","CS04","A409116","2022-01-24T00:00:00.000","2022-01-24T00:00:00.000","0","STRAY","BORN_HERE","TRANSFER","G SHEP NC","UNKNOWN","TREATABLE/REHAB","SANTA ROSA","OUT OF COUNTY","95015","
,  95015","1"
"DAPHNE","CAT","DOMESTIC SH","TORTIE/WHITE","Spayed","SMALL","2009-08-27T00:00:00.000","K19-033398","CA02","A390780","2019-08-20T00:00:00.000","2019-09-19T00:00:00.000","30","STRAY","OVER THE COUNTER","ADOPTION","SCAS WEB","TREATABLE/REHAB","TREATABLE/REHAB","COUNTY","COUNTY","95465","
,  95465
(38.4071, -122.94753)","1"
,"OTHER","GOAT","WHITE","Female","MED",,"K21-039530","LS02","A406600","2021-09-04T00:00:00.000","2021-09-18T00:00:00.000","14","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_CALL","HEALTHY","HEALTHY","COUNTY","SANTA ROSA","95407","
,  95407
(38.41483, -122.72707)","1"
"CHARCOAL","CAT","DOMESTIC SH","BRN TABBY","Male","SMALL","2015-08-30T00:00:00.000","K17-025115","CS06","A360493","2017-08-30T00:00:00.000","2017-09-05T00:00:00.000","6","TRANSFER","MUN_SHELT","TRANSFER","FORGOTTEN","UNKNOWN","TREATABLE/MANAGEABLE","COUNTY","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
,"CAT","DOMESTIC SH","BLACK/WHITE","Female","SMALL","2004-01-17T00:00:00.000","K14-007385","SMM","A301734","2014-01-17T00:00:00.000","2014-01-27T00:00:00.000","10","STRAY","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","SANTA ROSA",,,,"1"
"CHARLIE","DOG","GOLDEN RETR","GOLD","Neutered","LARGE","2014-10-27T00:00:00.000","K18-028173","FREEZER","A319664","2018-05-07T00:00:00.000","2021-09-27T00:00:00.000","1239","CONFISCATE","FLD_CORONR","DISPOSAL","DOA","UNKNOWN","DEAD","COUNTY","COUNTY","94952","
,  94952
(38.23262, -122.64426)","1"
,"CAT","DOMESTIC SH","ORG TABBY","Unknown","SMALL",,"K18-030226","COOLER","A377588","2018-10-13T00:00:00.000","2018-10-14T00:00:00.000","1","STRAY","FIELD","DISPOSAL","DOA","UNKNOWN","DEAD","SANTA ROSA",,,,"1"
"*SADIE","CAT","DOMESTIC MH","BLACK","Spayed","KITTN","2014-07-04T00:00:00.000","K14-011504","CA02","A313156","2014-10-28T00:00:00.000","2014-11-12T00:00:00.000","15","STRAY","OVER THE COUNTER","ADOPTION","INTERNET","TREATABLE/REHAB","HEALTHY","SANTA ROSA","SANTA ROSA","95404","
,  95404
(38.458384, -122.675588)","1"
"BANDIT","DOG","AUST SHEPHERD","WHITE/GRAY","Neutered","MED","2005-12-24T00:00:00.000","K15-017233","DS63","A331345","2015-12-23T00:00:00.000","2015-12-29T00:00:00.000","6","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","*WINDSOR","*WINDSOR","95492","
,  95492
(38.54938, -122.81321)","1"
"BUDDY","DOG","SHIH TZU/MIX","WHITE/TRICOLOR","Neutered","SMALL","2011-02-18T00:00:00.000","K14-007684","DA45","A302609","2014-02-11T00:00:00.000","2014-02-27T00:00:00.000","16","STRAY","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA","95405","
,  95405
(38.44473, -122.68655)","1"
"SUNKA","DOG","ALASKAN HUSKY","WHITE/BLACK","Male","MED","2017-09-02T00:00:00.000","K18-028889","DS85","A374397","2018-07-02T00:00:00.000","2018-07-03T00:00:00.000","1","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","UNKNOWN","PENDING","SANTA ROSA","COUNTY","95407","
,  95407
(38.41483, -122.72707)","1"
"ANDY","CAT","DOMESTIC SH","WHITE/GRAY","Neutered","SMALL","2008-01-15T00:00:00.000","K16-017476","CS06","A331941","2016-01-15T00:00:00.000","2016-01-27T00:00:00.000","12","OWNER SURRENDER","OVER THE COUNTER","EUTHANIZE","BEH SEVERE","TREATABLE/MANAGEABLE","UNTREATABLE","SANTA ROSA",,,,"1"
"DAISY","DOG","CHIHUAHUA LH/MIX","WHITE","Female","SMALL",,"K17-026456","FREEZER","A364943","2017-11-26T00:00:00.000","2017-11-26T00:00:00.000","0","OWNER SURRENDER","FIELD","EUTHANIZE","CON SEVERE","TREATABLE/REHAB","UNTREATABLE","SANTA ROSA",,,,"1"
,"DOG","BOXER/MIX","WHITE","Male","MED",,"K21-038970","DA19","A405715","2021-07-03T00:00:00.000","2021-08-21T00:00:00.000","49","STRAY","FIELD","TRANSFER","NC BOXER","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY","95616","
,  95616
(38.54669, -121.74457)","1"
"*DUCKIE","DOG","GERM SHEPHERD","BLACK/TAN","Female","MED","2012-05-20T00:00:00.000","K20-035602","DA27","A396842","2020-03-14T00:00:00.000","2020-05-27T00:00:00.000","74","STRAY","FIELD","TRANSFER","HSSC","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","SANTA ROSA","COUNTY","95407","
,  95407
(38.41483, -122.72707)","1"
,"OTHER","LEGHORN","WHITE","Male","SMALL",,"K18-027613","LS01","A370136","2018-03-20T00:00:00.000","2018-04-04T00:00:00.000","15","STRAY","OVER THE COUNTER","TRANSFER","WESTFARM","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA","95401","
,  95401
(38.446019, -122.766748)","1"
"*EMMY","DOG","GERM SHEPHERD/MIX","BLACK/TAN","Spayed","SMALL","2021-03-30T00:00:00.000","K22-040831","DA02","A410348","2022-03-01T00:00:00.000","2022-04-23T00:00:00.000","53","STRAY","FIELD","TRANSFER","RP SHELTER","UNKNOWN","PENDING","COUNTY","*ROHNERT PARK","94928","
,  94928
(38.34246, -122.71181)","1"
,"CAT","DOMESTIC SH","BLACK","Female","KITTN","2022-09-04T00:00:00.000","K22-042732","CA03","A413538","2022-10-04T00:00:00.000","2022-10-04T00:00:00.000","0","STRAY","OVER THE COUNTER","TRANSFER","HSSC","UNKNOWN","TREATABLE/REHAB","SANTA ROSA","COUNTY","95407","
,  95407
(38.41483, -122.72707)","1"
"SCRAPPY DOO","DOG","PIT BULL","GRAY/WHITE","Neutered","MED","2015-01-27T00:00:00.000","K15-016438","DA41","A328621","2015-10-17T00:00:00.000","2015-11-13T00:00:00.000","27","STRAY","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","COUNTY","95403","
,  95403
(38.51311, -122.75502)","1"
"BARNIE","DOG","CATAHOULA/BLACK MOUTH CUR","FAWN/WHITE","Male","PUPPY","2016-09-20T00:00:00.000","K16-021889","DS64","A346242","2016-12-14T00:00:00.000","2016-12-16T00:00:00.000","2","STRAY","OVER THE COUNTER","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","COUNTY","COUNTY","95425","
,  95425
(38.8063, -123.01785)","1"
,"OTHER","REX","BLACK/WHITE","Unknown","SMALL",,"K16-021682","CS06","A345648","2016-11-23T00:00:00.000","2016-12-03T00:00:00.000","10","STRAY","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","*WINDSOR",,,,"1"
,"CAT","DOMESTIC SH","BRN TABBY","Spayed","SMALL",,"K17-024151","CS06","A354514","2017-06-27T00:00:00.000","2017-06-28T00:00:00.000","1","STRAY","COMM CAT","RETURN TO OWNER","COMMCAT","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA","95401","
,  95401
(38.446019, -122.766748)","1"
"*LESLIE","CAT","DOMESTIC SH","GRAY/WHITE","Spayed","KITTN","2017-05-26T00:00:00.000","K17-024556","LOBBY","A355969","2017-07-26T00:00:00.000","2017-08-11T00:00:00.000","16","OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA",,"96080","
,  96080
(40.166581, -122.371305)","1"
,"CAT","DOMESTIC SH","GRAY/WHITE","Female","SMALL",,"K20-035522","COOLER","A396585","2020-03-05T00:00:00.000","2020-03-05T00:00:00.000","0","STRAY","FIELD","EUTHANIZE","ILL SEVERE","UNKNOWN","UNTREATABLE","SANTA ROSA",,,,"1"
"BLUE","DOG","CHIHUAHUA SH/MIX","GOLD/WHITE","Neutered","SMALL","2017-12-28T00:00:00.000","K19-032636","DS61","A388745","2019-06-17T00:00:00.000","2019-06-28T00:00:00.000","11","CONFISCATE","FLD_HOSPTL","RETURN TO OWNER","OVER THE COUNTER_ARREST","UNKNOWN","PENDING","SANTA ROSA","SANTA ROSA","95401","
,  95401
(38.446019, -122.766748)","1"
"RILEY","DOG","GERM SHEPHERD/MIX","BLACK/TAN","Neutered","MED","2009-10-09T00:00:00.000","K15-013238","DS79","A297917","2015-03-19T00:00:00.000","2015-03-19T00:00:00.000","0","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_MCHIP","HEALTHY","HEALTHY","COUNTY","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
"*WINSTON","CAT","DOMESTIC SH","GRAY/WHITE","Neutered","KITTN","2019-04-19T00:00:00.000","K19-032678","WESTFARM","A388809","2019-06-19T00:00:00.000","2019-07-18T00:00:00.000","29","STRAY","OVER THE COUNTER","ADOPTION","WESTFARM","HEALTHY","HEALTHY","*WINDSOR","SANTA ROSA","95407","
,  95407
(38.41483, -122.72707)","1"
"SHADOW","DOG","TR WALKER HOUND/MIX","WHITE/BLACK","Neutered","LARGE","2012-04-16T00:00:00.000","K14-010693","DA33","A290112","2014-09-09T00:00:00.000","2014-10-15T00:00:00.000","36","STRAY","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","COUNTY","95409","
,  95409
(38.46417, -122.67071)","1"
,"CAT","DOMESTIC SH","BRN TABBY","Male","SMALL",,"K17-025190","CS06","A360620","2017-09-05T00:00:00.000","2017-09-12T00:00:00.000","7","STRAY","COMM CAT","TRANSFER","FORGOTTEN","UNKNOWN","HEALTHY","COUNTY","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
,"CAT","DOMESTIC SH","BRN TABBY/WHITE","Unknown","SMALL",,"K14-010945","CS06","A311986","2014-09-09T00:00:00.000","2014-09-19T00:00:00.000","10","STRAY","COMM CAT","TRANSFER","FORGOTTEN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
"COCKY","DOG","GERM SHEPHERD","BROWN/BLACK","Neutered","LARGE","2014-08-15T00:00:00.000","K17-022296","DS54","A322573","2017-01-20T00:00:00.000","2017-01-21T00:00:00.000","1","STRAY","VET_HOSP","RETURN TO OWNER","OVER THE COUNTER_MCHIP","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
"GERONIMO","DOG","NEWFOUNDLAND","BLACK/WHITE","Male","LARGE","2014-10-05T00:00:00.000","K18-030117","DS70","A377242","2018-10-04T00:00:00.000","2018-10-05T00:00:00.000","1","CONFISCATE","FLD_HOSPTL","RETURN TO OWNER","OVER THE COUNTER_NOTICE","UNKNOWN","PENDING","COUNTY","OUT OF COUNTY","91040","
,  91040
(34.25969, -118.31429)","1"
"ZIMBA","DOG","CHIHUAHUA SH","BROWN/TAN","Neutered","SMALL",,"K14-009908","DA10","A309270","2014-07-21T00:00:00.000","2014-08-20T00:00:00.000","30","STRAY","FIELD","TRANSFER","PETSLIFELN","HEALTHY","HEALTHY","SANTA ROSA","COUNTY","95476","
,  95476
(38.29188, -122.45728)","1"
"HENRIETTA","OTHER","CHICKEN","BLACK/WHITE","Female","SMALL",,"K17-024083","LS03","A354237","2017-06-23T00:00:00.000","2017-07-08T00:00:00.000","15","STRAY","FIELD","ADOPTION","REFERRAL-O","HEALTHY","HEALTHY","COUNTY","COUNTY","95436","
,  95436
(38.47569, -122.89487)","1"
,"CAT","DOMESTIC SH","BLACK/WHITE","Spayed","SMALL",,"K15-012537","CS06","A316160","2015-01-24T00:00:00.000","2015-01-28T00:00:00.000","4","STRAY","COMM CAT","RETURN TO OWNER","COMMCAT","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA","95403","
,  95403
(38.51311, -122.75502)","1"
,"CAT","DOMESTIC MH","BUFF","Neutered","SMALL",,"K19-032315","RECEIVING","A387325","2019-05-23T00:00:00.000","2019-05-23T00:00:00.000","0","STRAY","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","UNKNOWN","UNTREATABLE","SANTA ROSA",,,,"1"
"OSO","DOG","CHIHUAHUA SH/MIX","TAN","Neutered","SMALL","2013-05-20T00:00:00.000","K19-031663","DS86","A306025","2019-03-10T00:00:00.000","2019-03-19T00:00:00.000","9","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_CALL","UNKNOWN","PENDING","SANTA ROSA","SANTA ROSA","95407","
,  95407
(38.41483, -122.72707)","1"
"MOLLY","DOG","TR WALKER HOUND","TRICOLOR","Spayed","LARGE","2015-07-26T00:00:00.000","K20-035165","DA41","A333402","2020-01-24T00:00:00.000","2020-02-21T00:00:00.000","28","OWNER SURRENDER","OVER THE COUNTER","TRANSFER","CWOB","TREATABLE/MANAGEABLE","TREATABLE/MANAGEABLE","COUNTY","COUNTY","95407","
,  95407
(38.41483, -122.72707)","1"
"MONKEY BEAR","DOG","AUST SHEPHERD","BROWN/WHITE","Neutered","MED","2008-09-13T00:00:00.000","K16-020372","DS91","A282075","2016-08-19T00:00:00.000","2016-08-20T00:00:00.000","1","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_PRVS","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA","95404","
,  95404
(38.458384, -122.675588)","1"
"CALLIE","DOG","PIT BULL","BLUE/WHITE","Spayed","MED","2013-01-29T00:00:00.000","K19-032144","DS81","A383086","2019-05-08T00:00:00.000","2019-05-17T00:00:00.000","9","STRAY","VET_HOSP","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","SANTA ROSA","*WINDSOR","95492","
,  95492
(38.54938, -122.81321)","1"
"JACK","DOG","PARSON RUSS TER/MIX","WHITE","Neutered","SMALL","2013-03-26T00:00:00.000","K14-010992","DA03","A312138","2014-09-26T00:00:00.000","2014-10-21T00:00:00.000","25","STRAY","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","SANTA ROSA","95404","
,  95404
(38.458384, -122.675588)","1"
,"OTHER","GOAT/LA MANCHA","BROWN/BLACK","Male","SMALL",,"K15-012894","LS01","A317044","2015-02-23T00:00:00.000","2015-03-04T00:00:00.000","9","CONFISCATE","FLD_ARREST","ADOPTION","WALKIN","TREATABLE/REHAB","TREATABLE/REHAB","SANTA ROSA","COUNTY","95492","
,  95492
(38.54938, -122.81321)","1"
"CHEWY","DOG","PIT BULL/MIX","BLACK","Male","MED",,"K19-034912","DS75","A395183","2019-12-22T00:00:00.000","2019-12-27T00:00:00.000","5","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_WEB","HEALTHY","HEALTHY","COUNTY","COUNTY","95421","
,  95421
(38.53578, -123.08828)","1"
"LITTLEFOOT II","OTHER","PARROT","GRAY","Unknown","SMALL",,"K16-019936","LOBBY","A340085","2016-07-25T00:00:00.000","2016-08-11T00:00:00.000","17","STRAY","VET_HOSP","ADOPTION","INTERNET","HEALTHY","HEALTHY","*WINDSOR","OUT OF COUNTY","94939","
,  94939
(37.93506, -122.53547)","1"
"SADIE","CAT","DOMESTIC SH","BLACK","Spayed","KITTN","2016-03-28T00:00:00.000","K16-019044","LOBBY","A337691","2016-05-28T00:00:00.000","2016-06-11T00:00:00.000","14","OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","COUNTY","95446","
,  95446
(38.50204, -122.99739)","1"
,"DOG","ROTTWEILER/LABRADOR RETR","BLACK","Male","PUPPY","2016-07-04T00:00:00.000","K16-019670","TRUCK","A339368","2016-07-08T00:00:00.000","2016-07-08T00:00:00.000","0","STRAY","FIELD","TRANSFER","HSSC","TREATABLE/REHAB","TREATABLE/REHAB","COUNTY","COUNTY","95403","
,  95403
(38.51311, -122.75502)","1"
"ELSA","DOG","GERM SHEPHERD","WHITE","Spayed","LARGE",,"K16-017527","TX","A332260","2016-01-21T00:00:00.000","2016-02-20T00:00:00.000","30","STRAY","FIELD","TRANSFER","G SHEP NC","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY","95015","
,  95015","1"
"*GINNY","DOG","LABRADOR RETR/MIX","BLACK","Spayed","LARGE","2015-07-11T00:00:00.000","K16-018711","DA15","A336557","2016-05-04T00:00:00.000","2016-05-16T00:00:00.000","12","STRAY","FIELD","TRANSFER","GREEN DOG","HEALTHY","HEALTHY","COUNTY","*WINDSOR","95492","
,  95492
(38.54938, -122.81321)","1"
"ACHILLIES","DOG","POMERANIAN","TRICOLOR","Male","SMALL","2007-02-01T00:00:00.000","K22-040746","DS56","A210454","2022-02-22T00:00:00.000","2022-02-22T00:00:00.000","0","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_CALL","UNKNOWN","PENDING","SANTA ROSA","SANTA ROSA","95404","
,  95404
(38.458384, -122.675588)","1"
,"DOG","MALTESE","WHITE","Unknown","SMALL",,"K17-026523","RECEIVING","A365189","2017-12-01T00:00:00.000","2017-12-01T00:00:00.000","0","STRAY","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","UNKNOWN","UNTREATABLE","SANTA ROSA",,,,"1"
"JACK","DOG","LHASA APSO/MIX","WHITE/TAN","Neutered","TOY","2011-04-25T00:00:00.000","K14-008589","DS94","A305901","2014-04-25T00:00:00.000","2014-04-29T00:00:00.000","4","STRAY","OVER THE COUNTER","RETURN TO OWNER","RETURN TO OWNER","HEALTHY","HEALTHY","*WINDSOR","*WINDSOR","95492","
,  95492
(38.54938, -122.81321)","1"
"*RAJ","DOG","PIT BULL/MIX","RED/WHITE","Neutered","MED","2011-08-02T00:00:00.000","K18-029296","DA34","A375071","2018-07-31T00:00:00.000","2018-09-30T00:00:00.000","61","TRANSFER","PRIV_SHELT","TRANSFER","BABK9ED","UNKNOWN","TREATABLE/MANAGEABLE","OUT OF COUNTY","OUT OF COUNTY","95482","
,  95482
(39.15093, -123.2079)","1"
,"OTHER","LOP-ENGLISH","BROWN/WHITE","Female","SMALL",,"K15-012944","CA01","A317191","2015-02-26T00:00:00.000","2015-03-06T00:00:00.000","8","STRAY","OVER THE COUNTER","TRANSFER","SAVEABUNNY","HEALTHY","HEALTHY","SANTA ROSA","OUT OF COUNTY","94941","
,  94941
(37.90774, -122.54822)","1"
,"CAT","DOMESTIC MH","BLACK/WHITE","Unknown","SMALL",,"K21-039048","EUTH","A405856","2021-07-14T00:00:00.000","2021-07-14T00:00:00.000","0","STRAY","FIELD","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","COUNTY",,,,"1"
"REINA","DOG","PIT BULL/MIX","TAN/WHITE","Spayed","PUPPY","2016-07-08T00:00:00.000","K16-020671","DA03","A342049","2016-09-08T00:00:00.000","2016-09-22T00:00:00.000","14","OWNER SURRENDER","FIELD","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","*COTATI","94931","
,  94931
(38.32345, -122.70821)","1"
"CHEWY","DOG","CHIHUAHUA SH","TAN","Neutered","SMALL","2014-09-17T00:00:00.000","K15-014847","DA44","A324152","2015-07-09T00:00:00.000","2015-07-17T00:00:00.000","8","STRAY","VET_HOSP","ADOPTION","WALKIN","HEALTHY","HEALTHY","SANTA ROSA","SANTA ROSA","95401","
,  95401
(38.446019, -122.766748)","1"
,"DOG","MALTESE/MIX","WHITE","Female","SMALL","2016-09-26T00:00:00.000","K17-025381","DS51","A361086","2017-09-19T00:00:00.000","2017-09-26T00:00:00.000","7","STRAY","MUN_SHELT","TRANSFER","IDAHO HS","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY","83705","
,  83705
(43.58356, -116.21367)","1"
"*ROGER","DOG","CHIHUAHUA SH","TAN","Neutered","SMALL","2017-07-18T00:00:00.000","K18-028933","DA48","A374457","2018-07-05T00:00:00.000","2018-07-25T00:00:00.000","20","STRAY","FIELD","TRANSFER","HSSC","HEALTHY","HEALTHY","SANTA ROSA","COUNTY","95407","
,  95407
(38.41483, -122.72707)","1"
"VADAR","CAT","DOMESTIC SH","BLACK/WHITE","Neutered","KITTN","2017-05-04T00:00:00.000","K17-024416","LOBBY","A355636","2017-07-15T00:00:00.000","2017-07-20T00:00:00.000","5","OWNER SURRENDER","OVER THE COUNTER","ADOPTION","WALKIN","HEALTHY","HEALTHY","COUNTY","OUT OF COUNTY","95461","
,  95461
(38.752, -122.6154)","1"
"THUNDER","OTHER","GUINEA PIG","BLACK","Male","SMALL","2015-10-27T00:00:00.000","K16-018629","LOBBY","A336105","2016-04-27T00:00:00.000","2016-05-04T00:00:00.000","7","OWNER SURRENDER","OVER THE COUNTER","TRANSFER","HSSC","HEALTHY","HEALTHY","*WINDSOR","COUNTY","95407","
,  95407
(38.41483, -122.72707)","1"
,"CAT","DOMESTIC SH","BLACK/WHITE","Unknown","SMALL",,"K19-033336","RECEIVING","A390396","2019-08-15T00:00:00.000","2019-08-16T00:00:00.000","1","STRAY","FIELD","TRANSFER","PETLUMA PP","UNKNOWN","PENDING","*WINDSOR","*PETALUMA","94952","
,  94952
(38.23262, -122.64426)","1"
,"CAT","DOMESTIC SH","BLACK/WHITE","Unknown","KITTN",,"K18-029568","RECEIVING","A375516","2018-08-21T00:00:00.000","2018-08-21T00:00:00.000","0","STRAY","OVER THE COUNTER","EUTHANIZE","ILL SEVERE","UNTREATABLE","UNTREATABLE","COUNTY",,,,"1"
"MOCA","DOG","PIT BULL","BROWN","Male","LARGE","2012-01-12T00:00:00.000","K17-022208","DS78","A347078","2017-01-12T00:00:00.000","2017-01-25T00:00:00.000","13","OWNER SURRENDER","OVER THE COUNTER","EUTHANIZE","AGGRESSIVE","UNTREATABLE","UNTREATABLE","SANTA ROSA",,,,"1"
"LUCY","CAT","DOMESTIC SH","TORTIE","Spayed","SMALL","2016-02-17T00:00:00.000","K19-031607","TX","A357016","2019-03-05T00:00:00.000","2019-03-05T00:00:00.000","0","STRAY","FIELD","EUTHANIZE","ILL SEVERE","UNKNOWN","UNTREATABLE","COUNTY",,,,"1"
"*WAFFLE","DOG","OLD ENG BULLDOG/PIT BULL","WHITE/BROWN","Spayed","MED","2016-05-10T00:00:00.000","K20-035123","DQ114","A386202","2020-01-21T00:00:00.000","2020-01-31T00:00:00.000","10","OWNER SURRENDER","OVER THE COUNTER","EUTHANIZE","AGGRESSIVE","UNTREATABLE","UNTREATABLE","SANTA ROSA",,,,"1"
,"CAT","DOMESTIC SH","BRN TABBY","Unknown","KITTN","2019-05-28T00:00:00.000","K19-032783","TRUCK","A389094","2019-06-28T00:00:00.000","2019-06-28T00:00:00.000","0","STRAY","MUN_SHELT","TRANSFER","HSSC","UNKNOWN","TREATABLE/REHAB","COUNTY","COUNTY","95407","
,  95407
(38.41483, -122.72707)","1"
"HONEY","DOG","PIT BULL","TAN/WHITE","Spayed","LARGE","2009-11-04T00:00:00.000","K18-029066","MISSING","A329452","2018-07-11T00:00:00.000","2018-07-11T00:00:00.000","0","STRAY","FIELD","RETURN TO OWNER","OVER THE COUNTER_MCHIP","HEALTHY","HEALTHY","*ROHNERT PARK","COUNTY","95407","
,  95407
(38.41483, -122.72707)","1"
"MYA","DOG","ALASKAN HUSKY","WHITE/GRAY","Spayed","MED","2019-12-17T00:00:00.000","K22-040856","DA39","A408465","2022-03-08T00:00:00.000","2022-06-24T00:00:00.000","108","ADOPTION RETURN","OVER THE COUNTER","ADOPTION","SCAS WEB","UNKNOWN","HEALTHY","OUT OF COUNTY","COUNTY","95465","
,  95465
(38.4071, -122.94753)","1"
,"OTHER","KOI","GOLD","Unknown","MED",,"K17-025943","UCD","A362757","2017-10-16T00:00:00.000","2017-12-13T00:00:00.000","58","STRAY","FIELD","TRANSFER","UCD","UNKNOWN","TREATABLE/REHAB","COUNTY","OUT OF COUNTY",,,"1"
"CALI","DOG","BORDER COLLIE/MIX","BLACK/WHITE","Spayed","MED","2014-05-27T00:00:00.000","K20-035858","DS74","A397634","2020-05-27T00:00:00.000","2020-06-03T00:00:00.000","7","CONFISCATE","FLD_ARREST","RETURN TO OWNER","OVER THE COUNTER_ARREST","TREATABLE/MANAGEABLE","PENDING","SANTA ROSA","OUT OF COUNTY",,,"1"
"*STAN","CAT","DOMESTIC SH","BLACK","Neutered","SMALL","2016-08-22T00:00:00.000","K17-022803","LOBBY","A349549","2017-03-15T00:00:00.000","2017-03-24T00:00:00.000","9","STRAY","OVER THE COUNTER","ADOPTION","INTERNET","HEALTHY","HEALTHY","SANTA ROSA","COUNTY","95461","
,  95461
(38.752, -122.6154)","1"
